<DATETIME>,<RETURN>
20180103 101018,0.0300001
20180103 101020,0.0400001
20180103 101029,0.0100001
20180103 101029,0.0000001
20180103 101029,-0.0699999
20180103 101044,-0.0099999
20180103 101045,0.0000001
20180103 101045,0.0000001
20180103 101045,0.0000001
20180103 101045,-0.0199999
20180103 101047,0.0000001
20180103 101048,0.0000001
20180103 101048,0.0000001
20180103 101048,0.0000001
20180103 101048,0.0000001
20180103 101048,0.0500001
20180103 101100,0.0000001
20180103 101100,0.0000001
20180103 101101,0.0100001
20180103 101111,0.0400001
20180103 101114,0.0000001
20180103 101114,0.0100001
20180103 101114,0.0000001
20180103 101114,-0.0099999
20180103 101141,0.0100001
20180103 101141,-0.0699999
20180103 101210,-0.0099999
20180103 101210,0.0300001
20180103 101221,0.0300001
20180103 101224,-0.0499999
20180103 101231,-0.0199999
20180103 101251,0.0400001
20180103 101255,0.0300001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0100001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,0.0000001
20180103 101255,-0.1499999
20180103 101255,0.0000001
20180103 101300,0.0000001
20180103 101301,0.0000001
20180103 101310,0.0000001
20180103 101310,0.0000001
20180103 101312,-0.0399999
20180103 101315,-0.0099999
20180103 101317,0.0000001
20180103 101317,0.0100001
20180103 101317,0.0000001
20180103 101322,-0.0099999
20180103 101322,0.0000001
20180103 101322,0.0000001
20180103 101322,0.0000001
20180103 101328,-0.0199999
20180103 101339,0.0000001
20180103 101339,-0.0199999
20180103 101339,0.0000001
20180103 101339,-0.0099999
20180103 101342,0.0000001
20180103 101345,0.0000001
20180103 101345,-0.0199999
20180103 101345,-0.0099999
20180103 101345,0.0000001
20180103 101345,0.0000001
20180103 101345,0.0600001
20180103 101357,0.0000001
20180103 101357,0.0700001
20180103 101357,0.0100001
20180103 101358,0.0000001
20180103 101358,0.0000001
20180103 101358,0.0400001
20180103 101358,0.0000001
20180103 101358,0.0000001
20180103 101358,0.0500001
20180103 101359,0.0200001
20180103 101359,0.0100001
20180103 101359,0.0100001
20180103 101359,0.0000001
20180103 101359,0.0000001
20180103 101359,0.0100001
20180103 101400,0.0000001
20180103 101400,0.0000001
20180103 101400,0.0000001
20180103 101400,0.0000001
20180103 101400,0.0000001
20180103 101400,0.0200001
20180103 101400,0.0000001
20180103 101400,-0.0099999
20180103 101401,-0.0799999
20180103 101404,0.0100001
20180103 101404,0.0000001
20180103 101404,0.0100001
20180103 101404,0.0000001
20180103 101404,0.0100001
20180103 101404,0.0000001
20180103 101404,0.0000001
20180103 101404,0.0100001
20180103 101404,0.0100001
20180103 101404,0.0000001
20180103 101404,0.0000001
20180103 101404,0.0100001
20180103 101404,0.0000001
20180103 101404,0.0000001
20180103 101404,0.0100001
20180103 101404,0.0000001
20180103 101404,0.0100001
20180103 101404,-0.0099999
20180103 101404,0.0000001
20180103 101404,0.0200001
20180103 101404,0.0000001
20180103 101404,0.0000001
20180103 101404,0.0200001
20180103 101404,0.0100001
